Unnamed: 0,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
9056,Santa's Monster Shootout DX,GAME,5.0,4,33M,50+,Paid,$1.99,Teen,Action,"August 15, 2013",1.05,2.2 and up
8395,DG TV,NEWS_AND_MAGAZINES,5.0,3,5.7M,100+,Free,0,Everyone,News & Magazines,"May 26, 2018",1.2,4.1 and up
8493,PK and DK Audio App,FAMILY,5.0,2,3.9M,100+,Free,0,Everyone,Entertainment,"October 25, 2017",5.1.4,4.1 and up
6330,HON. B.J. ACS COLLEGE ALE,FAMILY,5.0,3,1.8M,100+,Free,0,Mature 17+,Education,"December 26, 2016",3.1,4.3 and up
6342,BJ Foods,BUSINESS,5.0,3,1.5M,10+,Free,0,Everyone,Business,"February 7, 2018",2.7,4.1 and up
6363,Read it easy for BK,LIFESTYLE,5.0,1,3.2M,50+,Free,0,Everyone,Lifestyle,"July 15, 2018",1.2,4.1 and up
9766,ER Assist,PRODUCTIVITY,5.0,3,28M,10+,Free,0,Everyone,Productivity,"December 6, 2016",0.1.7,4.1 and up
6364,BK Video Status,FAMILY,5.0,13,2.1M,100+,Free,0,Everyone,Entertainment,"July 7, 2018",2.3,4.4 and up
6372,BK Formula Calculator,TOOLS,5.0,6,11M,100+,Free,0,Everyone,Tools,"August 8, 2015",0.1.1,4.2 and up
6375,Dr Bk Sachin bhai,LIFESTYLE,5.0,19,3.1M,"1,000+",Free,0,Everyone,Lifestyle,"December 7, 2017",2.2,4.1 and up
