id,sex,bdate,has_photo,has_mobile,followers_count,graduation,education_form,relation,education_status,langs,life_main,people_main,city,last_seen,occupation_type,occupation_name,career_start,career_end,result
64100,2,1852,1,1.0,150.0,2012.0,1,2.0,7,86,0,0,246,5118,0,915,49,34,0
46851,2,326,0,1.0,92.0,2011.0,0,4.0,2,61,0,0,860,8041,0,1796,49,34,0
13159,2,2990,0,1.0,62.0,2012.0,1,0.0,2,61,0,6,417,1451,0,895,49,34,0
59148,1,55,0,1.0,179.0,1989.0,1,4.0,4,61,9,7,421,6313,0,125,49,34,0
46429,2,3562,0,1.0,74.0,2008.0,1,7.0,2,61,3,2,592,31,0,2764,49,34,0
58719,1,553,0,1.0,142.0,2009.0,3,0.0,2,38,0,0,421,2822,1,649,36,34,1
48095,1,2808,0,1.0,751.0,2021.0,3,0.0,5,61,0,0,421,2238,0,1987,44,34,1
4093,2,79,0,1.0,112.0,2014.0,0,4.0,4,61,1,2,860,7399,0,2920,36,27,0
63172,1,3184,1,1.0,318.0,2012.0,1,4.0,5,38,0,0,238,1811,1,689,33,34,1
63848,1,1347,1,1.0,294.0,2018.0,0,0.0,7,61,9,7,823,7979,0,3432,49,34,1
66760,1,2803,0,1.0,77.0,2011.0,1,1.0,5,38,0,0,860,4067,0,2193,49,34,1
4682,2,1529,1,1.0,23.0,2007.0,0,4.0,2,61,0,0,844,7782,0,3740,49,34,0
81358,1,348,1,1.0,3148.0,2010.0,2,6.0,2,61,0,0,592,2523,1,1717,33,34,1
2,2,794,1,1.0,86.0,2010.0,1,4.0,7,38,9,7,231,6962,0,1453,49,34,0
17951,2,3562,0,1.0,89.0,2013.0,1,4.0,5,185,6,2,126,5819,0,3640,49,34,0
64151,2,1718,1,1.0,243.0,2018.0,0,0.0,7,38,0,0,279,1656,0,3259,49,34,0
62802,2,2893,1,1.0,322.0,2015.0,2,4.0,5,61,0,2,598,2944,0,2174,49,34,0
1865,2,575,0,1.0,212.0,2010.0,1,0.0,2,38,9,7,598,2481,0,2197,49,34,0
50575,2,1162,0,1.0,62.0,2006.0,1,4.0,2,363,5,2,860,7796,0,2237,33,23,0
19315,2,1578,1,1.0,86.0,1986.0,1,1.0,2,61,0,0,421,642,1,3167,7,34,0
